bblid,envSES,envHouseholds,neighborhoodCrime
82773,0.871589511,-0.339977566,
82784,0.770170394,0.410080904,
82790,0.713553957,0.257467186,
82793,0.98383714,0.064003953,
82796,0.655381491,0.261801126,
82805,0.718591814,-1.159136711,
82820,-0.669215927,-0.967608727,1.01096297
82825,0.950698714,0.937036643,
82828,-1.9193467,1.507052692,6.936524153
82832,0.390314661,-0.240708165,
82835,1.127211514,-1.961160704,
82842,0.781031591,-0.222326748,
82845,0.268248053,-0.647820838,
82848,0.999960084,0.931167955,
82851,0.787465443,-0.006066806,
82855,1.163931397,0.627148315,
82862,0.487883142,-1.221055899,-1.078680747
82867,0.35325222,0.818872939,
82870,1.179272154,0.020397265,
82873,-1.599051402,1.60835265,
82877,-1.951884069,-0.157515454,0.805837364
82880,-1.623891483,2.634883902,
82882,0.434193085,-0.323402476,
82885,-1.236206446,-0.153552237,-0.252957646
82887,-0.19368435,0.135067289,
82899,-1.350214566,-0.979650844,-0.803832118
82907,-1.284045741,-0.577519763,-0.555745535
82914,-0.665945618,1.347016726,
82917,0.794014673,0.122959652,
82920,-1.071670994,0.205316172,
82927,-1.765987478,-0.500275675,0.910865642
82932,-1.034005868,0.521344735,
82935,1.171409201,0.72048805,
82938,-0.500460177,-0.323684176,-0.211572073
82940,1.134077871,0.891455103,
82949,0.669655166,-0.073488094,
82962,1.204036056,0.312512367,
82965,0.095997519,-0.689294439,
82970,-1.517815961,-0.210955646,-0.337229047
82976,0.642820977,0.443425734,
82982,-1.642569683,1.816825306,0.130932954
82985,-0.13407377,-0.832291765,-0.492880877
82989,0.751399917,-0.314521626,
82992,1.003909542,0.927419246,
82997,-0.795163336,0.098024898,
83010,1.575993612,1.069749985,
83013,0.747449009,-1.310199262,
83018,-1.59137309,1.016465797,0.002706993
83021,-1.375089399,0.938002757,
83023,-2.159886278,0.541588299,0.003161611
83027,0.516403402,0.009260594,
83035,-1.473376857,-0.347616157,-0.085544029
83039,-1.835826812,-0.310890159,0.410751956
83044,-1.454909958,-1.932864046,
83056,0.444037411,-0.355163813,
83062,-1.437800865,0.241250765,0.01755399
83063,0.652310827,-1.217622272,
83068,-1.392248489,1.995666084,-0.121643914
83072,0.591759,-0.794362823,
83077,-0.898088013,0.330343623,0.317992926
83080,-1.409396078,-1.283542512,
83083,-1.631624472,-0.243720792,-0.317753993
83086,0.818374284,1.401727471,
83089,1.332144539,-0.939794273,
83103,-1.326342842,0.667558623,-0.308372425
83113,-1.558239438,1.070366294,-0.337591277
83119,1.126361725,0.532069026,
83122,-1.436688371,0.93220688,
83124,-1.033343006,0.037691677,
83127,1.096112611,0.875855121,
83130,-1.948015429,0.753601969,0.685864826
83138,-1.500553425,0.992476824,
83139,0.008002642,-0.926176849,
83144,0.407278438,0.118216214,
83147,0.812777842,-0.146037174,
83158,-1.437312906,-1.005219498,0.040691958
83161,0.15341538,-0.192366845,
83169,-1.402858785,0.210419715,-0.572517679
83188,-1.354002248,-2.572540284,
83193,0.612602039,-0.442898346,
83196,-1.781069521,1.685522048,-0.536654424
83207,0.460094028,-0.11713007,
83210,1.436001406,1.865081536,
83216,-1.57638253,0.584516396,1.000486061
83233,0.57012521,-0.419655648,
83247,0.433127587,-0.605894547,
83253,1.319267609,0.182189903,
83260,-0.665945618,1.347016726,
83263,1.17988102,0.858185146,
83266,-0.543880045,-0.88050629,0.013230906
83269,-1.65913866,3.298130686,-0.107399556
83275,-1.044995174,0.7686654,-0.115906138
83293,0.886734966,0.111298988,
83296,1.191380271,-0.162492369,
83301,-0.589290582,0.501380351,-0.352760853
83308,-1.694069402,-0.608404346,0.226353436
83310,0.519658716,0.455929202,
83313,-2.087701491,0.179881654,-0.376960583
83316,1.06621977,1.965583203,
83322,-2.492003303,-0.746773461,-0.386273584
83328,-1.325925859,-0.025647508,0.000206652
83339,0.471554793,-0.752144282,
83347,0.245427313,-0.915918488,
83358,-1.437800865,0.241250765,0.01755399
83370,-1.9193467,1.507052692,6.936524153
83372,0.608773452,-0.529644056,
83375,-2.042676987,0.257093424,0.552103196
83381,0.866426643,-0.217078867,
83387,-1.119859314,-1.25158173,
83393,-2.465485766,2.058963488,1.274605899
83395,0.48298477,-0.661841439,-1.176609368
83398,1.327503274,1.619618651,
83401,-1.591618145,-0.375701744,1.033875852
83414,0.485861302,0.24490419,
83420,-0.435473129,-2.044037162,-0.789067032
83423,0.178059824,0.302092906,
83429,-1.581098845,-0.063972564,0.21026494
83432,0.733150456,-0.872823327,
83435,-0.589290582,0.501380351,-0.352760853
83436,1.216480665,-0.141118238,
83439,-0.281683198,-0.245575318,-0.170027076
83454,0.757329293,0.056742951,
83457,-2.358178882,1.890967422,5.47558431
83462,0.715325096,-0.067338674,
83470,0.299568646,1.404520182,
83473,-2.165509361,0.399714999,0.343537618
83475,-1.694738098,2.095292675,
83477,1.083481598,1.699962538,
83480,0.668101458,-1.068742772,
83489,0.598186157,-0.454749771,
83498,0.409686159,-0.060500999,
83501,0.696666479,-0.634075614,
83510,-1.291347243,0.903448247,-0.289349813
83513,1.093267283,1.142028988,
83519,0.797656506,0.034841858,
83522,0.828873432,0.084936593,
83525,0.643277009,1.05375255,
83531,0.620551513,0.130236678,
83537,1.176768598,-0.402432309,
83540,0.579173335,-0.623586705,
83544,-1.655836073,0.043864964,-0.295835842
83547,1.111227315,0.81572682,
83550,0.391044423,-0.815020092,
83556,0.565139248,0.693057894,
83559,0.749493332,-0.570452208,
83562,-1.031729519,-0.84877164,-0.402834139
83567,0.485861302,0.24490419,
83570,-1.81513298,0.450942501,0.096243711
83580,0.591759,-0.794362823,
83589,1.012623141,-0.371539509,
83592,1.178816107,0.195080971,
83604,0.011576116,-0.501377913,-1.077752885
83612,-1.976718615,-0.337051811,0.379935982
83616,1.255431298,0.420617116,
83621,0.818043664,-0.804619101,
83632,0.095000064,0.014663891,-0.641921434
83635,0.659859758,0.365367334,
83639,0.416015587,0.921206191,
83648,0.669618981,-0.340330115,
83657,-0.087248614,0.079124131,
83660,0.705078235,-0.512098779,
83663,-1.932002052,-1.336418887,
83666,0.472681039,0.607118238,
83669,0.261441843,0.057202433,
83672,-0.247922251,-1.995188641,-0.780012067
83678,0.872543677,-0.702019045,
83691,1.06942813,1.704117679,
83705,0.044549672,-0.878662232,
83708,0.068981844,-0.700937317,
83711,1.510018737,0.536823731,
83713,1.319267609,0.182189903,
83719,0.709363938,-0.212144719,
83722,0.277826762,0.017861447,
83733,-1.060677292,-0.423169992,-0.221523732
83734,-0.245249294,-0.87296181,
83737,0.900360697,-0.202045163,
83738,0.985649174,1.441213885,
83759,1.095242107,1.212911517,
83764,1.149342301,-0.106520377,
83767,0.617242077,-0.43297466,
83770,1.108756597,0.745402119,
83776,-0.51481382,-0.825348529,-0.956739504
83779,1.008747154,-0.327728519,
83788,0.979854939,1.013795636,
83794,0.653353692,0.868737429,
83797,-0.857067246,0.094160025,-0.226449331
83800,0.882633305,-0.440527671,
83815,-0.543880045,-0.88050629,0.013230906
83826,0.897116182,0.342057158,
83829,0.549712822,-2.048962398,
83832,0.649848871,-1.079531573,
83835,-2.192955828,-0.591778569,0.50171858
83838,0.618486029,0.810167927,
83843,1.160214107,-0.435339281,
83849,-1.412022221,-0.245496786,0.311006644
83858,0.577234307,-0.27422307,
83864,0.713372149,0.574936028,
83867,0.768278167,0.863848789,
83873,1.197189114,0.428152286,
83879,-1.781069521,1.685522048,
83883,0.109979703,0.78742663,1.933302951
83885,0.844521521,0.376313298,
83891,-1.716277805,-1.393603,0.302351945
83902,-0.375396299,0.117739889,
83905,-0.178985,-1.040192067,
83908,-0.371471653,-2.198056698,0.08027057
83920,1.090910289,1.649769521,
83923,-1.932002052,-1.336418887,
83937,0.652267823,-0.393588078,
83940,0.33048354,-1.062946971,
83943,1.060020902,-0.305945338,
83946,-1.560050333,1.486668978,1.308405062
83954,0.294215365,-1.719073808,
83959,-0.151401835,-0.010879394,-0.801419741
83961,1.148813246,0.381729891,
83964,-0.165397008,-0.855770903,
83972,-0.39352576,-0.35537556,
83978,0.726640017,0.516827286,
83983,0.691338901,0.938713074,
83987,0.866623541,0.025768116,
83990,1.27873478,-1.458721387,
83993,0.656402872,-1.785317074,
83999,0.715504094,-0.532476477,
84002,-0.270821925,-1.297716402,
84024,0.125051319,-0.921711309,
84032,0.229166399,-0.163306696,
84035,1.59851386,0.138017726,
84038,0.761152997,-0.05545245,
84041,-0.242015079,0.079304679,
84044,1.319566731,1.585645854,
84047,1.302805822,0.536492557,
84050,0.409524298,0.348209405,
84053,0.872666797,0.462895884,
84059,-1.361820634,2.371700115,-0.46780139
84064,-2.59726395,0.179764683,1.437807337
84067,-1.181343671,0.259931877,-0.218745347
84069,0.933822952,0.653938714,
84085,-1.488507793,-0.854170393,
84093,1.116686252,0.789276086,
84096,-0.550464673,-1.351694655,-0.67512414
84098,0.508701578,-1.451377488,
84103,0.65553021,-0.053076331,
84107,0.554635691,-0.25031866,
84115,1.270522855,0.39843169,
84118,-0.060053882,-1.817042985,
84127,0.776037906,-0.148052101,
84133,0.98695421,-0.739936664,
84136,0.67235525,0.298914909,
84139,0.314359619,0.137123543,
84148,0.743385015,-0.049164284,
84151,0.668101458,-1.068742772,
84153,0.59957317,-0.47177867,
84156,0.64459441,-1.397355911,
84159,0.498963313,-0.845572931,
84163,-1.012072085,0.708764768,
84165,-1.437312906,-1.005219498,0.040691958
84166,0.667473072,0.52435411,
84168,0.871589511,-0.339977566,
84171,-1.732757614,1.026035455,0.449610594
84174,-0.169218795,-0.814178903,
84179,0.644565931,-0.292249748,
84182,0.950698714,0.937036643,
84195,-1.694069402,-0.608404346,0.226353436
84203,-0.646893666,-1.997746572,-0.423269727
84205,-1.849633953,-0.412585124,
84211,-1.176306108,-0.393732819,-0.308570136
84219,-0.498118405,-1.370814307,-0.713163396
84222,-0.69322678,0.210176977,-0.180917448
84230,0.873293572,0.245395706,
84233,-0.489490145,-0.570232227,-0.750415443
84238,-0.521469444,0.208351592,-0.298204789
84258,-1.934731856,-0.785491006,-0.218912221
84267,-1.834703193,-0.539674988,0.21329807
84279,0.681611764,-0.343209247,
84282,-1.392248489,1.995666084,-0.121643914
84285,0.813042421,-0.294094759,
84288,-1.110142009,0.277556548,0.498120287
84291,-1.177619692,-0.260466409,-0.828310949
84308,-1.260090255,-1.629355563,
84313,-0.539159377,-0.507791163,
84320,0.017479421,-1.538094447,-0.493078346
84321,-0.127744574,-1.210093833,
84323,0.214422765,1.670356893,
84326,-0.328664042,-0.202124674,
84329,0.02247889,-1.665203102,-0.894505334
84332,0.109231311,-2.789300555,-1.006500965
84338,-1.68752616,-1.136096034,0.174224426
84343,-0.826264445,-0.12635883,
84352,-0.688677154,-0.115517695,-0.815168327
